,Text,Original Summary,MLE Summary,GAN Summary
0," the worldâs largest solar park, shakti <unk> was inaugurated in karnataka's <unk> on thursday by karnataka cm siddaramaiah and state power minister dk <unk> the park has a <unk> capacity and was built at a cost of â¹16,500 crore, over 13,000 acres across five villages. instead of a land acquisition deal, farmers will get â¹21,000 per acre as <unk> ", world's largest solar park inaugurated in karnataka , world's largest solar park opens in karnataka , world's largest solar park inaugurated in karnataka 
1," the death toll has risen to nine in the violence during bharat bandh, called by dalit groups to protest a supreme court ruling on sc/st act. six of the victims were from madhya pradesh, two from uttar pradesh and one from rajasthan. clashes with police forces, damage to government property and blockades of roads and trains were reported across states. ", death toll rises to nine in violence during bharat bandh , death toll in in in village violence violence , death toll rises to nine in communal bandh 
2," lok sabha on thursday passed the trafficking of persons (prevention, protection and <unk> bill, 2018. the legislation calls for punishment ranging from 10 years of imprisonment and a fine of not less than â¹1 lakh to offenders. ""bill isn't intended to harass those voluntarily in the <unk> has a compassionate view of sex racket victims,"" said union minister maneka <unk> ", lok sabha passes anti-human trafficking bill , lok sabha passes anti-human trafficking bill , lok sabha passes anti-human trafficking bill 
3," tesla ceo elon musk, who recently settled fraud charges with the us securities and exchange commission (sec), in an interview said, ""i want to be clear. i do not respect the <unk> the regulator had also demanded board oversight of musk's social media use but the billionaire said no one has reviewed any of his tweets since the settlement. "," i want to be clear, i do not respect the sec: musk after settlement "," i want to to clear, i do not respect with me: musk "," i want to be clear, i respect to respect "
4," a firefighter caught a baby thrown from the second floor of a burning building in georgia, united states. firefighter robert <unk> said he heard the father yelling <unk> and asked him to drop it. the father was later rescued, while a nearby plumber said, ""one guy just caught it like a football <unk> ", firefighter catches baby dropped from burning building , firefighter catches baby dropped from building , firefighter catches baby from building 
5," german billionaire <unk> <unk> has been missing since saturday when he failed to return from a skiing tour in the alps. the 58-year-old retail magnate was training for a ski mountaineering race when he disappeared on switzerland's <unk> peak, located on the border with italy. the swiss police said rescue teams were deployed on both sides of <unk> border. ", german billionaire goes missing on ski trip in the alps , german billionaire goes missing for ski ski trip in france , german billionaire goes missing for ski trip in 
6," south korea-based leading logistics group cj logistics has acquired a 50% stake in india's logistics and transport giant darcl logistics for <unk> million. ""by entering the fast-growing indian market, we're now one step closer to becoming one of the global top five logistics companies,"" cj logistics ceo <unk> park said. notably, darcl logistics has seen growth for around four decades. ", cj logistics buys 50% stake in darcl logistics for $50.6 mn , cj logistics buys logistics stake in darcl logistics for $50.6 mn , cj logistics buys 50% stake in darcl logistics 
7," amid uproar by the opposition over the home ministry authorising 10 agencies to access and decrypt any information in any computer, finance minister arun jaitley said the government just repeated authorisation of the order that has been existing since 2009. ""you are making a mountain where a <unk> does not exist,"" the minister added. ", order to monitor computers exists since 2009: arun jaitley , order that of exists exists 2009: 2009: arun jaitley , order of 2009: exists exists 2009: arun 
8," a mob of local boys in jammu and kashmir's kupwara area thrashed a <unk> of the indian army on suspicion that he was involved in a braid-chopping incident, according to reports. the soldier was rescued by army personnel and his condition was not critical, reports added. as many as 40 incidents of braid-chopping have been reported in the kashmir valley. ", mob thrashes soldier accused of braid-chopping in j&k , mob thrashes soldier accused of braid-chopping in army , mob thrashes cop accused of braid-chopping 
9," hong kong's pakistan-born spinner ehsan khan, who dismissed ms dhoni during asia cup 2018, said that he used to dream about dismissing sachin tendulkar and ms dhoni. ""sachin ko nahi kar <unk> dukh hai. dhoni ka wicket <unk> <unk> ke <unk> <unk> he said about his celebration. ""if sachin is god, then dhoni is the <unk> of cricket,"" he added. "," dhoni ka wicket mila, isliye jhuk ke <unk> kiya: hk's ehsan khan "," dhoni ka wicket mila, isliye jhuk ke <unk> kiya: hk's ehsan khan "," dhoni ka wicket mila, isliye jhuk ke kiya: hk's ehsan "
10," prime minister narendra modi on friday said that a strong india-china relationship is not only important for the mutual benefit of the people of india and china, but also for the world. his remarks came during a meeting with chinese state councillor yang <unk> earlier on friday, jiechi met national security adviser ajit doval for annual boundary negotiations. ", india-china ties important for the world: pm narendra modi , india-china ties not important for world: pm narendra modi , india-china ties not important for world: pm 
11," the terror group islamic state has kidnapped nearly 200 children in iraq during a battle with the iraqi forces in western mosul to use them as human shields, the iraqi observatory for human rights said. the militants are reportedly targeting women and children on the battlefield and open fire on them if they try to flee. ", islamic state kidnaps 200 children to use as human shields , islamic state kidnaps 200 children in in shields shields shields , islamic state kidnaps kidnaps children in in shields 
12," after samajwadi party mla azam khan requested muslims to stay away from dairy business and cow trading for their safety, his wife <unk> fatima has returned her cow over mob lynching fears. ""we have returned a beautiful cow gifted to us by a seer over fears that someone might kill the animal and put the blame on us,"" fatima said. ", sp mla azam khan's wife returns cow over mob lynching fear , sp mla azam khan's wife seeks over cow lynching cow lynching , sp mla azam khan's wife returns cow lynching 
13," a new poster of the upcoming thriller 'mom' reveals actor akshaye khanna's look from the film. 'mom', which will be actress sridevi's 300th film, will also star actors nawazuddin siddiqui, sajal ali, abhimanyu singh and <unk> <unk> directed by ravi <unk> the film is scheduled to release on july 14. ", new poster of 'mom' reveals akshaye khanna's look , new poster of 'mom' khanna's akshaye , new poster of 'mom' khanna's akshaye 
14," royal shakespeare company director greg doran has hinted that playwright william shakespeare could've been <unk> and added that it wasn't considered proper in his times to ""possibly have affection for men"". he added, <unk> wrote a cycle of 154 <unk> which were published in <unk> and 126 of those <unk> are addressed to a man and not to a woman."" ", <unk> director hints at shakespeare's 'affection for men' , <unk> director hints at shakespeare's 'affection for men' , <unk> director hints for shakespeare's 'affection 
15, the bruhat bengaluru mahanagara palike (bbmp) has decided to construct toilets and install ro plants in 150 graveyards in order to provide basic amenities for families living at the graveyards. bbmp also announced the construction of 200 houses for graveyard workers. the civic body further said it will take care of the education of children living at the graveyards. ," 150 bengaluru graveyards to get toilets, ro water plants "," bengaluru to to get toilets, toilets, plants plants "," bengaluru to graveyards to toilets, toilets, ro ro "
16," pavan malhotra, who has acted in films like 'black friday' and 'bhaag milkha bhaag', said people know him by his on-screen characters and not by his name. however, he added, ""the fact that they recognise <unk> a big compliment for me."" ""i'd be lying if i say i don't like the attention i get for [my] work,"" pavan further said. "," people know me by my characters, not my name: pavan "," people know me by my characters, not my name: pavan "," people know me by my characters, my name: pavan "
